email,name,roles,sources
amiraslanova.luba+artist@yandex.ru,amiraslanova.luba+artist@yandex.ru,fan,user
eanna@gmail.com,eanna@gmail.com,fan,user
eanna+123@gmail.com,eanna+123@gmail.com,fan,user
eanna+1234@gmail.com,eanna+1234@gmail.com,fan,user
eannadefreine@gmail.com,Eanna Freeney,fan,user
eannadefreine+1122@gmail.com,Eanna Freeney,fan,user
eannadefreine+1222@gmail.com,Eannaa de Freine,fan,user
eannadefreine+123@gmail.com,Eanna de Freine,fan,user
eannadefreine+233@gmail.com,Eannaaa de Freine,fan,user
eannadefreine+2er@gmail.com,Eanna de Freine,fan,user
eannadefreine+321@gmail.com,Eannaa de Freine,fan,user
eannadefreine+432@gmail.com,Eanna de Freine,fan,user
eannadefreine+6@gmail.com,Eanna Freeney,fan,user
eannadefreine+99@gmail.com,Eanna de Freine,fan,user
eannadefreine+ab@gmail.com,eannadefreine+ab@gmail.com,fan,user
eannadefreine+alejandro@gmail.com,Alejandro Cartagena,artist,user; creator:artist:owner
eannadefreine+artist@gmail.com,Eannaa de Freine,artist,user; creator:artist:owner
eannadefreine+artist1@gmail.com,eannadefreine+artist1@gmail.com,artist,user; creator:artist:owner
eannadefreine+artsit@gmail.com,eannadefreine+artsit@gmail.com,fan,user
eannadefreine+asfsd@gmail.com,Eanna de Freine,fan,user
eannadefreine+billjj@gmail.com,eannadefreine+billjj@gmail.com,fan,user
eannadefreine+carl4@gmail.com,Eanna de Freine,fan,user
eannadefreine+carly2@gmail.com,Eanna de Freine,fan,user
eannadefreine+carly3@gmail.com,Eanna de Freine,fan,user
eannadefreine+carly4@gmail.com,Eanna de Freine,fan,user
eannadefreine+dasdad@gmail.com,Eanna de Freine,fan,user
eannadefreine+dsfdsf@gmail.com,Eanna de Freine,fan,user
eannadefreine+evan5@gmail.com,eannadefreine+evan5@gmail.com,artist,user; creator:artist:owner
eannadefreine+fan1@gmail.com,Billy Williams,artist,user; creator:artist:owner
eannadefreine+fan12@gmail.com,Eanna Freeney,fan,user
eannadefreine+fan123@gmail.com,Eanna De Freine,fan,user
eannadefreine+fan32@gmail.com,Eanna de Freine,fan,user
eannadefreine+fan4567@gmail.com,Eanna Freeney,fan,user
eannadefreine+fan999@gmail.com,Eanna de Freine,fan,user
eannadefreine+fanjj@gmail.com,Eanna Freeney,fan,user
eannadefreine+gaffney@gmail.com,eannadefreine+gaffney@gmail.com,artist,user; creator:artist:owner
eannadefreine+gost@gmail.com,Tom Williams,"artist, publisher",user; creator:artist:owner; creator:publisher:owner
eannadefreine+henry@gmail.com,Eanna Freeney,fan,user
eannadefreine+hoda@gmail.com,Eanna Freeney,fan,user
eannadefreine+hoda1@gmail.com,Eanna Freeney,fan,user
eannadefreine+hodda2@gmail.com,Eanna Freeney,artist,user; creator:artist:owner
eannadefreine+irina@gmail.com,Irina Kholodna,fan,user
eannadefreine+liuba@gmail.com,Liubov Amiraslanova,artist,user; creator:artist:owner
eannadefreine+mack@gmail.com,Michael Mack,fan,user
eannadefreine+poursuite@gmail.com,eannadefreine+poursuite@gmail.com,publisher,user; creator:publisher:owner
eannadefreine+rrt@gmail.com,Eanna Freeney,fan,user
eannadefreine+sdad@gmail.com,Eanna de Freine,fan,user
eannadefreine+sfdsfdsf@gmail.com,Eanna de Freine,artist,user; creator:artist:owner
eannadefreine+stephen@gmail.com,Stephen Wilson,artist,user; creator:artist:owner
eannadefreine+test1@gmail.com,Eanna de Freine,artist,user; creator:artist:owner
eannadefreine+test66@gmail.com,dssa sddsfs,artist,user; creator:artist:owner
eannadefreine+tommy@gmail.com,eannadefreine+tommy@gmail.com,fan,user
eannadefreine+tommy1@gmail.com,eannadefreine+tommy1@gmail.com,fan,user
eannadefreine+tommy12@gmail.com,eannadefreine+tommy12@gmail.com,artist,user; creator:artist:owner
eannadefreine+tommy2@gmail.com,eannadefreine+tommy2@gmail.com,fan,user
eannadefreine+tommyjj@gmail.com,eannadefreine+tommyjj@gmail.com,fan,user
eannadefreine+tommykk@gmail.com,eannadefreine+tommykk@gmail.com,fan,user
eannadefreine+tvc@gmail.com,Ricardo Nunes,fan,user
eannadefreine+wew@gmail.com,Eanna de Freine,fan,user
eannadefreinedsdasd@gmail.com,Eanna de Freine,fan,user
eannafreeney@gmail.com,Brittainy Lauback,"creator-stub, artist, publisher",creator:artist:stub; creator:publisher:stub; creator:artist:owner; creator:publisher:owner
hello@falllinepress.com,hello@falllinepress.com,fan,user
info@ricardonunes.de,info@ricardonunes.de,artist,user; creator:artist:owner
info@test.com,Nazraeli Press,"creator-stub, publisher",creator:publisher:stub
test@gmail.com,Beth Galton,"creator-stub, artist",creator:artist:stub
